_id,availability,availability_selector,brand,brand_link,brand_link_selector,brand_selector,breadcrumb,breadcrumb_selector,cdw,cdw_selector,fast_track,fast_track_selector,mfg,mfg_selector,mfr,mfr_selector,min_price,min_price_selector,model,model_selector,msc,msc_selector,n_resellers,n_resellers_selector,name,name_secondary,name_secondary_selector,name_selector,price,price_selector,proxy,proxy_item,response_status_item,search_string,shipping,shipping_selector,ships_from,ships_from_selector,site_id,site_id_selector,site_name,table,table_css,table_css_selector,table_selector,timestamp,unspsc,unspsc_selector,url_item
5a7a58b72f1cbc06952c92f9,,0.0,,,,,,,,,,,,,16210,1.0,,,,,,,,,Tracker Super-Brite Uv Light,,,1,$ 50.74 /ea,1.0,,,HTTP 200,Brine Tester,,0.0,,,G0026043,1.0,ZORO,,,,,2018-02-06-19-38,,,https://www.zoro.com/robinair-tracker-super-brite-uv-light-16210/i/G0026043/?q=Brine+Tester
5a7a58c72f1cbc06952c92fb,,0.0,,,,,,,,,,,,,L5110,1.0,,,,,,,,,"INGERSOLL-RAND 180 Lumens, LED Cordless Flashlight",,,1,$ 77.85 /ea,1.0,,,HTTP 200,Ingersoll Rand L5110,,0.0,,,G5261392,1.0,ZORO,,,,,2018-02-06-19-38,,,https://www.zoro.com/ingersoll-rand-cordless-flashlight-led-l5110/i/G5261392/?q=Ingersoll+Rand+L5110
5a7a58d42f1cbc06952c92fd,,0.0,,,,,,,,,,,,,98-4,1.0,,,,,,,,,"Machinists Level, 4 In (100mm), 1 Vial",,,1,$ 120.30 /ea,1.0,,,HTTP 200,STARRETT 98 4,,0.0,,,G3697933,1.0,ZORO,,,,,2018-02-06-19-38,,,https://www.zoro.com/starrett-machinists-level-4-in-100mm-1-vial-98-4/i/G3697933/?q=STARRETT+98+4
5a7a58d42f1cbc06952c92fe,,0.0,,,,,,,,,,,,,U17244.025.0037,1.0,,,,,,,,,"1/4""-20 x 3/8"" Pipe Size Hot Dipped Galvanized U-Bolt, 10 pk.",,,1,$ 2.90 /pk,1.0,,,HTTP 200,U17244.025.0037,,0.0,,,G2807878,1.0,ZORO,,,,,2018-02-06-19-38,,,https://www.zoro.com/fabory-u-bolt-14-20-38in-stl-ht-dip-gal-pk10-u172440250037/i/G2807878/?q=U17244.025.0037
5a7a58f32f1cbc06952c930a,Available from these sellers .,1.0,Kingston Technology,/Kingston-Technology/b/ref=w_bl_hsx_s_pc_web_11351297011?ie=UTF8&node=11351297011&field-lbr_brands_browse-bin=Kingston+Technology,2.0,2.0,,,,,,0.0,,,,,,,,,,,New (22) from $17.99 + $4.99 shipping,1.0,Kingston Technology ValueRAM 2GB 1600MHz DDR3 Non-ECC CL11 DIMM SR x16 Desktop Memory KVR16N11S6/2,,,1,,1.0,,,HTTP 200,KVR16N11S6/2,,,,0.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/Kingston-Technology-ValueRAM-1600MHz-KVR16N11S6/dp/B00HV6V5TG/ref=sr_1_1/133-4347988-7500419?ie=UTF8&qid=1517967574&sr=8-1&keywords=KVR16N11S6%2F2
5a7a58f52f1cbc06952c930b,Available from these sellers .,1.0,Printon,/Printon/b/ref=w_bl_hsx_s_off_web_11389694011?ie=UTF8&node=11389694011&field-lbr_brands_browse-bin=Printon,2.0,2.0,,,,,,0.0,,,,,,,,,,,New (1) from $16.39 + $4.99 shipping,1.0,PrintOn Inkjet Cartridge PTO60B compatible with CC640WL HP #60 Black,,,1,,1.0,,,HTTP 200,CC640WL?LA,,,,0.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/PrintOn-Inkjet-Cartridge-compatible-CC640WL/dp/B010MVTLVU/ref=sr_1_1/135-6270212-4630159?ie=UTF8&qid=1517967578&sr=8-1&keywords=CC640WL%3FLA
5a7a58f92f1cbc06952c930c,,0.0,,,1.0,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0,,1.0,,,HTTP 200,Delphi DFG0008,,,,0.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/Delphi-Resistance-Trilogy-Book-ebook/dp/B071L1NSXX/ref=sr_1_fkmr0_1/137-5611990-5001307?ie=UTF8&qid=1517967584&sr=8-1-fkmr0&keywords=Delphi+DFG0008
5a7a58fb2f1cbc06952c930d,Usually ships within 1 to 3 weeks.,1.0,Hawk,/Hawk/b/ref=bl_dp_s_web_9284644011?ie=UTF8&node=9284644011&field-lbr_brands_browse-bin=Hawk,2.0,2.0,,,,,This item ships to Mexico .,1.0,,,,,,,,,,,New (7) from $193.76 & FREE shipping.,1.0,Hawk Performance HK5078.662Z Brake Rotor with PC Pad Kit,,,1,$285.56,1.0,,,HTTP 200,Hawk HK5078.662Z,,,Ships from and sold by Works Concepts .,1.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/Hawk-Performance-HK5078-662Z-Brake-Rotor/dp/B00QGUJ7CU/ref=sr_1_1/143-3665891-7970665?ie=UTF8&qid=1517967586&sr=8-1&keywords=Hawk+HK5078.662Z
5a7a58fe2f1cbc06952c930e,Only 13 left in stock (more on the way).,1.0,Small Parts,/Small-Parts/b/ref=bl_dp_s_web_3041233011?ie=UTF8&node=3041233011&field-lbr_brands_browse-bin=Small+Parts,1.0,1.0,,,,,"This item ships to Mexico . Want it Monday, Feb. 12? Order within and choose AmazonGlobal Priority Shipping at checkout. Learn more function fastTrackCountDown(secondsLeft, messageSectionId) { var sectionId = messageSectionId; var FT_showAndInCountdown = false; var FT_DayString = ""day""; var FT_DaysString = ""days""; var FT_HourString = ""hr""; var FT_HoursString = ""hrs""; var FT_MinuteString = ""min""; var FT_MinutesString = ""mins""; var FT_AndString = ""and""; var FT_startedWithHour = new Date().getHours(); var FT_givenSeconds, FT_actualSeconds; var timerId; function getElementsByClassNameCustom(className) { var selectedElements = []; if (document.querySelectorAll) { var sectionIdElements = document.querySelectorAll(""#"" + sectionId); for (index = 0; index < sectionIdElements.length; ++index) { var elements = sectionIdElements[index].querySelectorAll(""."" + className); for(var i = 0; elements && i < elements.length; i++) { selectedElements.push(elements[i]); } } } return selectedElements; } var FT_CurrentDisplayMin; var clientServerTimeDrift; var firstTimeUpdate = true; var countdownElements = getElementsByClassNameCustom(""ftCountdownClass""); if (countdownElements.length < 1 && document.getElementById(sectionId) && document.getElementById(""ftCountdown"")) { countdownElements.push(document.getElementById(""ftCountdown"")); } function getTimeRemainingString( days, hours, minutes ) { hours = (days * 24) + hours; var hourString = ( hours == 1 ? FT_HourString : FT_HoursString ); var minuteString = ( minutes == 1 ? FT_MinuteString : FT_MinutesString ); if (hours == 0) { return minutes + "" "" + minuteString; } if (minutes == 0) { return hours + "" "" + hourString; } if (FT_showAndInCountdown) { return hours + "" "" + hourString + "" "" + FT_AndString + "" "" + minutes + "" "" + minuteString; } else { return hours + "" "" + hourString + "" "" + minutes + "" "" + minuteString; } } function hideAllFastTrackComponents() { if (document.querySelectorAll) { var fastTrackComponents = document.querySelectorAll(""#fast-track""); var index; var shouldHideSections = false; if (fastTrackComponents) { for (index = 0; index < fastTrackComponents.length; ++index) { if (fastTrackComponents[index].querySelector(""#"" + sectionId)) { fastTrackComponents[index].style.display = ""none""; } else { shouldHideSections = true; } } if (shouldHideSections) { var sectionComponents = document.querySelectorAll(""#"" + sectionId); if (sectionComponents) { for (index = 0; index < sectionComponents.length; ++index) { sectionComponents[index].style.display = ""none""; } } } } } } function FT_displayCountdown(forceUpdate) { var FT_remainSeconds = FT_givenSeconds - FT_actualSeconds; //for components having outer div ""fast-track"" hide that component else hide the message sectionId. if (FT_remainSeconds < 1) { hideAllFastTrackComponents(); } var FT_secondsPerDay = 24 * 60 * 60; var FT_daysLong = FT_remainSeconds / FT_secondsPerDay; var FT_days = Math.floor(FT_daysLong); var FT_hoursLong = (FT_daysLong - FT_days) * 24; var FT_hours = Math.floor(FT_hoursLong); var FT_minsLong = (FT_hoursLong - FT_hours) * 60; var FT_mins = Math.floor(FT_minsLong); var FT_secsLong = (FT_minsLong - FT_mins) * 60; var FT_secs = Math.floor(FT_secsLong); timerId = setTimeout(FT_getTime, 1000); var ftCountdown = getTimeRemainingString( FT_days, FT_hours, FT_mins ); if (countdownElements.length) { if (FT_CurrentDisplayMin != FT_mins || forceUpdate || firstTimeUpdate) { var i = 0, countdownElement; while (countdownElement = countdownElements[i++]) { countdownElement.innerHTML = ftCountdown; } FT_CurrentDisplayMin = FT_mins; firstTimeUpdate = false; } } } function FT_getCountdown(secondsLeft) { var FT_currentTime = new Date(); var FT_currentHours = FT_currentTime.getHours(); var FT_currentMins = FT_currentTime.getMinutes(); var FT_currentSecs = FT_currentTime.getSeconds(); FT_givenSeconds = FT_currentHours * 3600 + FT_currentMins * 60 + FT_currentSecs; FT_givenSeconds += secondsLeft; FT_getTime(); } function FT_getTime() { var FT_newCurrentTime = new Date(); var FT_actualHours = FT_newCurrentTime.getHours(); if (FT_startedWithHour > FT_actualHours) { FT_actualHours += 24; } var FT_actualMins = FT_newCurrentTime.getMinutes(); var FT_actualSecs = FT_newCurrentTime.getSeconds(); FT_actualSeconds = FT_actualHours * 3600 + FT_actualMins * 60 + FT_actualSecs; FT_displayCountdown(); } FT_getCountdown(secondsLeft); return { stopTimer : function() { clearTimeout(timerId); } }; } P.when(""A"", ""jQuery"").execute(function(A, $) { var pageState = A.state('ftPageState'); if (typeof pageState === 'undefined') { pageState = {}; } if (pageState[""fast-track-message""]) { pageState[""fast-track-message""].stopTimer(); } pageState[""fast-track-message""] = new fastTrackCountDown(61487,""fast-track-message""); A.state('ftPageState', pageState); });",1.0,,,,,,,,,,,New (7) from $12.67 & FREE shipping on orders over $25.00. Details,1.0,"High Carbon Steel Wire, Mill Finish #2B (Smooth) Finish, Grade #2B Smooth, Full Hard Temper, Meets ASTM A228 Specifications, 0.055"" Diameter, 124' Length, Precision",,,1,$12.67,1.0,,,HTTP 200,Coil Spring Temper Carbon Steel Wire (Piano Wire),,,Ships from and sold by Amazon.com. Gift-wrap available.,1.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/Carbon-Finish-Specifications-Diameter-Precision/dp/B002A001I4/ref=sr_1_1/141-6603489-2680450?ie=UTF8&qid=1517967589&sr=8-1&keywords=Coil+Spring+Temper+Carbon+Steel+Wire+%28Piano+Wire%29
5a7a59012f1cbc06952c930f,In Stock.,1.0,Dorman,/Dorman/b/ref=bl_dp_s_web_2590679011?ie=UTF8&node=2590679011&field-lbr_brands_browse-bin=Dorman,2.0,2.0,,,,,"This item ships to Mexico . Want it Monday, Feb. 12? Order within and choose AmazonGlobal Priority Shipping at checkout. Learn more function fastTrackCountDown(secondsLeft, messageSectionId) { var sectionId = messageSectionId; var FT_showAndInCountdown = false; var FT_DayString = ""day""; var FT_DaysString = ""days""; var FT_HourString = ""hr""; var FT_HoursString = ""hrs""; var FT_MinuteString = ""min""; var FT_MinutesString = ""mins""; var FT_AndString = ""and""; var FT_startedWithHour = new Date().getHours(); var FT_givenSeconds, FT_actualSeconds; var timerId; function getElementsByClassNameCustom(className) { var selectedElements = []; if (document.querySelectorAll) { var sectionIdElements = document.querySelectorAll(""#"" + sectionId); for (index = 0; index < sectionIdElements.length; ++index) { var elements = sectionIdElements[index].querySelectorAll(""."" + className); for(var i = 0; elements && i < elements.length; i++) { selectedElements.push(elements[i]); } } } return selectedElements; } var FT_CurrentDisplayMin; var clientServerTimeDrift; var firstTimeUpdate = true; var countdownElements = getElementsByClassNameCustom(""ftCountdownClass""); if (countdownElements.length < 1 && document.getElementById(sectionId) && document.getElementById(""ftCountdown"")) { countdownElements.push(document.getElementById(""ftCountdown"")); } function getTimeRemainingString( days, hours, minutes ) { hours = (days * 24) + hours; var hourString = ( hours == 1 ? FT_HourString : FT_HoursString ); var minuteString = ( minutes == 1 ? FT_MinuteString : FT_MinutesString ); if (hours == 0) { return minutes + "" "" + minuteString; } if (minutes == 0) { return hours + "" "" + hourString; } if (FT_showAndInCountdown) { return hours + "" "" + hourString + "" "" + FT_AndString + "" "" + minutes + "" "" + minuteString; } else { return hours + "" "" + hourString + "" "" + minutes + "" "" + minuteString; } } function hideAllFastTrackComponents() { if (document.querySelectorAll) { var fastTrackComponents = document.querySelectorAll(""#fast-track""); var index; var shouldHideSections = false; if (fastTrackComponents) { for (index = 0; index < fastTrackComponents.length; ++index) { if (fastTrackComponents[index].querySelector(""#"" + sectionId)) { fastTrackComponents[index].style.display = ""none""; } else { shouldHideSections = true; } } if (shouldHideSections) { var sectionComponents = document.querySelectorAll(""#"" + sectionId); if (sectionComponents) { for (index = 0; index < sectionComponents.length; ++index) { sectionComponents[index].style.display = ""none""; } } } } } } function FT_displayCountdown(forceUpdate) { var FT_remainSeconds = FT_givenSeconds - FT_actualSeconds; //for components having outer div ""fast-track"" hide that component else hide the message sectionId. if (FT_remainSeconds < 1) { hideAllFastTrackComponents(); } var FT_secondsPerDay = 24 * 60 * 60; var FT_daysLong = FT_remainSeconds / FT_secondsPerDay; var FT_days = Math.floor(FT_daysLong); var FT_hoursLong = (FT_daysLong - FT_days) * 24; var FT_hours = Math.floor(FT_hoursLong); var FT_minsLong = (FT_hoursLong - FT_hours) * 60; var FT_mins = Math.floor(FT_minsLong); var FT_secsLong = (FT_minsLong - FT_mins) * 60; var FT_secs = Math.floor(FT_secsLong); timerId = setTimeout(FT_getTime, 1000); var ftCountdown = getTimeRemainingString( FT_days, FT_hours, FT_mins ); if (countdownElements.length) { if (FT_CurrentDisplayMin != FT_mins || forceUpdate || firstTimeUpdate) { var i = 0, countdownElement; while (countdownElement = countdownElements[i++]) { countdownElement.innerHTML = ftCountdown; } FT_CurrentDisplayMin = FT_mins; firstTimeUpdate = false; } } } function FT_getCountdown(secondsLeft) { var FT_currentTime = new Date(); var FT_currentHours = FT_currentTime.getHours(); var FT_currentMins = FT_currentTime.getMinutes(); var FT_currentSecs = FT_currentTime.getSeconds(); FT_givenSeconds = FT_currentHours * 3600 + FT_currentMins * 60 + FT_currentSecs; FT_givenSeconds += secondsLeft; FT_getTime(); } function FT_getTime() { var FT_newCurrentTime = new Date(); var FT_actualHours = FT_newCurrentTime.getHours(); if (FT_startedWithHour > FT_actualHours) { FT_actualHours += 24; } var FT_actualMins = FT_newCurrentTime.getMinutes(); var FT_actualSecs = FT_newCurrentTime.getSeconds(); FT_actualSeconds = FT_actualHours * 3600 + FT_actualMins * 60 + FT_actualSecs; FT_displayCountdown(); } FT_getCountdown(secondsLeft); return { stopTimer : function() { clearTimeout(timerId); } }; } P.when(""A"", ""jQuery"").execute(function(A, $) { var pageState = A.state('ftPageState'); if (typeof pageState === 'undefined') { pageState = {}; } if (pageState[""fast-track-message""]) { pageState[""fast-track-message""].stopTimer(); } pageState[""fast-track-message""] = new fastTrackCountDown(61484,""fast-track-message""); A.state('ftPageState', pageState); });",1.0,,,,,,,,,,,New (26) from $17.15 & FREE shipping on orders over $25.00. Details,1.0,Dorman 38431 Door Hinge Pin and Bushing Kit,,,1,$17.15,1.0,,,HTTP 200,Dorman 38431,,,Ships from and sold by Amazon.com.,1.0,,,AMZN,,,,,2018-02-06-19-38,,,https://www.amazon.com/Dorman-38431-Door-Hinge-Bushing/dp/B001FKX894/ref=sr_1_1/146-4292137-9297962?ie=UTF8&qid=1517967592&sr=8-1&keywords=Dorman+38431
